Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,Employer Provided Salary:$55 - $60 Per Hour,"Job Description:
Python
Machine learning
Neural networks
Data visualization
Data wrangling
· (clustering, decision tree learning, artificial neural networks, Deep Learning etc.) and their real-world advantages/drawbacks.
· Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.",-1,Amaze Systems Inc,Remote,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$70 - $80 Per Hour,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns",-1,Radcube LLC,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Farm Journal, the largest business information company serving U.S. agriculture, is seeking a Data Scientist to partner with our business and internal teams to aid them in data strategy.
What this person will do:
Design, develop, implement, support, and present dashboards, reports, and visualizations in Tableau to help clients maximize the value of their data
Deliver insightful visual solutions to complex problems for clients using creative ideas that support big data and analytical consumers
Organize and clean unstructured data to present through Tableau and alter data models as business requirement change
Communicate project output in terms of customer value, business objectives and product opportunity",3.2,"Farm Journal
3.2",Remote,201 to 500 Employees,1877,Company - Private,Publishing,Media,$50 to $100 million (USD)
Data Scientist,Employer Provided Salary:$139K - $276K,"We are currently seeking a Senior Data Scientist for a full time, permanent position (remote).
The Data Science team builds machine learning models that recommend best-match candidates for jobs. The team’s mission is to build the world’s best AI matchmaker that can connect all jobs with the right jobseekers.
Responsibilities
Build highly scalable and performant recommendation systems and technologies that can identify best matches between millions of jobs and millions of job seekers in real-time
Experiment with POC ML model improvements, scale them to production, and run iterative AB experiments to improve our matching technology",4.6,"Comcentric
4.6",Remote,51 to 200 Employees,2003,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
BHJOB15656_16794 - Data Scientist,-1,"The recruitment team here at Myticas is looking to hire 2 Data Scientists to assist with building our client's nextgen (next generation) of advanced analytics products using AI, Data Science, and ML (Machine learning).
The Data Scientists we are seeking will collaborate across internal teams to create predictive models and identify opportunities to make informed business decisions and create value for our customer base. The primary responsibilities will be applying a knowledge of statistics, machine learning (ML) programming, data modeling, simulation, and advanced mathematics for recognizing patterns, identify opportunities, posing business questions, and making valuable discoveries leading to prototype development and new product offerings.
REQUIREMENTS:
Degree in a scientific or quantitative field or a proven proficiency in these areas",3.7,"Myticas Consulting
3.7",Remote,1 to 50 Employees,-1,,IT Services,Information Technology,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$40 - $50 Per Hour,"Urgent!!
Job Description
Job Title: Data Scientist
Location: Bellevue & Los Angeles
Visa : GC & US Citizen
Skills:
SQL
Python/R",-1,INNOVATIVE BI SOLUTIONS INC,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$50 - $55 Per Hour,"Data Scientist
Remote
Primary Skills:
5-8 years of experience with data science and analytical services.
Domain: Experience in Oil and Gas domain or Manufacturing domain.
Exposure to software product development and experience with real time data acquisition system.
Expertise in predictive modeling, machine learning, and statistics.
Well-versed in machine learning algorithms and their suitability for solving various problems: Regression, Bayesian, Support Vector Machines, Decision Trees, Random Forest, Clustering, Neural Networks.",5.0,"Apptrics LLC
5.0",Remote,51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$75 - $95 Per Hour,"This is a new role within the R&D organization. The Data Scientist will be
responsible for working with the company stakeholders to analyze the existing data that is being collected, build out a roadmap of potential ideas where could utilize the data, and develop an overall data mining strategy. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. Currently data is in an unstructured format and it will be up to the Data Scientist to determine the best way forward in utilizing the data.
Responsibilities
Work with stakeholders throughout the organization to identify opportunities for
leveraging company data to drive business solutions.",-1,Highland Principals,Remote,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data scientist,Employer Provided Salary:$50 - $60 Per Hour,"Data Scientist
Primary Skills:
5-8 years of experience with data science and analytical services.
Domain: Experience in Oil and Gas domain or Manufacturing domain.
Exposure to software product development and experience with real time data acquisition system.
Expertise in predictive modeling, machine learning, and statistics.
Well-versed in machine learning algorithms and their suitability for solving various problems: Regression, Bayesian, Support Vector Machines, Decision Trees, Random Forest, Clustering, Neural Networks.",4.0,"Blutium
4.0",Remote,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,-1,"Mandatory: Client looking for PhD passed candidate.
Description:
We are looking to onboard contractors to support algorithm development, reporting tools, and the software engineering needed to support an enterprise-level ML solution.
TYPICAL WORKDAY: Our group works in the agile framework – so days will start with a daily standup meeting where we discuss our aims for the day and any blockers that may arise. From there, a typical workday involves working on tickets (development in python / pyspark), meeting with other team members or business partners to understand requirements, or understanding the consequences of algorithms on Client pharmacy inventory. A fair bit of time is spent on software engineering to support the ML solution. Our group’s projects involve forecasting Rx needs for Client. This includes drugs in each of our locations across the country and at central filling facilities, which is currently under active development T",4.5,"infinity quest
4.5",Remote,201 to 500 Employees,2006,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Scientist - 100% Remote,Employer Provided Salary:$150K - $175K,"We have an immediate need for an experienced Data Scientist. This permanent position is 100% remote and offers competitive compensation (that will depend on level of experience) as well as an excellent benefits package.
Target Skills and Experience:
5+ years of Data Analytics experience while working as a Data Scientist.
Strong ability to analyze large amounts of data to discover trends and patterns and build predictive models and machine-learning algorithms to support decision making and quality improvement.
Strong ability to evaluate predictive models, including those developed by vendors or other data scientists, and produce actionable insights, strategies, and recommendations to business challenges.",-1,BlueSky Technology Solutions,Remote,-1,-1,-1,-1,-1,-1
Data Scientist/Analyst,Employer Provided Salary:$55 - $60 Per Hour,"Position: Data Scientist - Alteryx Exp Mandatory
Location: Dearborn, MI
Duration: Long Term Contract
Position Type: W2 & 1099 & C2C
Must Have: Alteryx Experience
Job Description
You will be responsible for providing the data and analytics support for enterprise data integration tasks, including ingestion, standardization, enrichment, mastering and assembly of data products for downstream applications.",-1,Wintegrity,Remote,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
